18:30:33  [main] 	Initializing Control Panel
18:30:33  [main] 	Windows Version:  Home  64-bit
18:30:33  [main] 	XAMPP Version: 7.4.26
18:30:33  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
18:30:33  [main] 	You are not running with administrator rights! This will work for
18:30:33  [main] 	most application stuff but whenever you do something with services
18:30:33  [main] 	there will be a security dialogue or things will break! So think 
18:30:33  [main] 	about running this application with administrator rights!
18:30:33  [main] 	XAMPP Installation Directory: "d:\xampp server\cp_dbms\"
18:30:33  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
18:30:33  [main] 	Checking for prerequisites
18:30:33  [main] 	All prerequisites found
18:30:33  [main] 	Initializing Modules
18:30:33  [mysql] 	Problem detected!
18:30:33  [mysql] 	Port 3306 in use by "Unable to open process"!
18:30:33  [mysql] 	MySQL WILL NOT start without the configured ports free!
18:30:33  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
18:30:33  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
18:30:33  [main] 	Starting Check-Timer
18:30:33  [main] 	Control Panel Ready
18:46:23  [Apache] 	Attempting to start Apache app...
18:46:24  [Apache] 	Status change detected: running
18:46:24  [mysql] 	Problem detected!
18:46:24  [mysql] 	Port 3306 in use by "Unable to open process"!
18:46:24  [mysql] 	MySQL WILL NOT start without the configured ports free!
18:46:24  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
18:46:24  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
18:46:24  [mysql] 	Attempting to start MySQL app...
18:46:25  [mysql] 	Status change detected: running
18:46:27  [mysql] 	Status change detected: stopped
18:46:27  [mysql] 	Error: MySQL shutdown unexpectedly.
18:46:27  [mysql] 	This may be due to a blocked port, missing dependencies, 
18:46:27  [mysql] 	improper privileges, a crash, or a shutdown by another method.
18:46:27  [mysql] 	Press the Logs button to view error logs and check
18:46:27  [mysql] 	the Windows Event Viewer for more clues
18:46:27  [mysql] 	If you need more help, copy and post this
18:46:27  [mysql] 	entire log window on the forums
18:46:32  [mysql] 	Problem detected!
18:46:32  [mysql] 	Port 3306 in use by "Unable to open process"!
18:46:32  [mysql] 	MySQL WILL NOT start without the configured ports free!
18:46:32  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
18:46:32  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
18:46:32  [mysql] 	Attempting to start MySQL app...
18:46:32  [mysql] 	Status change detected: running
18:46:33  [mysql] 	Status change detected: stopped
18:46:33  [mysql] 	Error: MySQL shutdown unexpectedly.
18:46:33  [mysql] 	This may be due to a blocked port, missing dependencies, 
18:46:33  [mysql] 	improper privileges, a crash, or a shutdown by another method.
18:46:33  [mysql] 	Press the Logs button to view error logs and check
18:46:33  [mysql] 	the Windows Event Viewer for more clues
18:46:33  [mysql] 	If you need more help, copy and post this
18:46:33  [mysql] 	entire log window on the forums
18:51:25  [mysql] 	Problem detected!
18:51:25  [mysql] 	Port 3306 in use by "Unable to open process"!
18:51:25  [mysql] 	MySQL WILL NOT start without the configured ports free!
18:51:25  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
18:51:25  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
18:51:25  [mysql] 	Attempting to start MySQL app...
18:51:25  [mysql] 	Status change detected: running
18:51:27  [mysql] 	Status change detected: stopped
18:51:27  [mysql] 	Error: MySQL shutdown unexpectedly.
18:51:27  [mysql] 	This may be due to a blocked port, missing dependencies, 
18:51:27  [mysql] 	improper privileges, a crash, or a shutdown by another method.
18:51:27  [mysql] 	Press the Logs button to view error logs and check
18:51:27  [mysql] 	the Windows Event Viewer for more clues
18:51:27  [mysql] 	If you need more help, copy and post this
18:51:27  [mysql] 	entire log window on the forums
18:58:53  [Apache] 	Status change detected: stopped
18:58:53  [Apache] 	Error: Apache shutdown unexpectedly.
18:58:53  [Apache] 	This may be due to a blocked port, missing dependencies, 
18:58:53  [Apache] 	improper privileges, a crash, or a shutdown by another method.
18:58:53  [Apache] 	Press the Logs button to view error logs and check
18:58:53  [Apache] 	the Windows Event Viewer for more clues
18:58:53  [Apache] 	If you need more help, copy and post this
18:58:53  [Apache] 	entire log window on the forums
18:59:05  [Apache] 	Status change detected: running
18:59:05  [mysql] 	Status change detected: running
18:59:06  [mysql] 	Status change detected: stopped
18:59:06  [mysql] 	Error: MySQL shutdown unexpectedly.
18:59:06  [mysql] 	This may be due to a blocked port, missing dependencies, 
18:59:06  [mysql] 	improper privileges, a crash, or a shutdown by another method.
18:59:06  [mysql] 	Press the Logs button to view error logs and check
18:59:06  [mysql] 	the Windows Event Viewer for more clues
18:59:06  [mysql] 	If you need more help, copy and post this
18:59:06  [mysql] 	entire log window on the forums
18:59:17  [mysql] 	Problem detected!
18:59:17  [mysql] 	Port 3306 in use by "Unable to open process"!
18:59:17  [mysql] 	MySQL WILL NOT start without the configured ports free!
18:59:17  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
18:59:17  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
18:59:17  [mysql] 	Attempting to start MySQL app...
18:59:17  [mysql] 	Status change detected: running
18:59:18  [mysql] 	Status change detected: stopped
18:59:18  [mysql] 	Error: MySQL shutdown unexpectedly.
18:59:18  [mysql] 	This may be due to a blocked port, missing dependencies, 
18:59:18  [mysql] 	improper privileges, a crash, or a shutdown by another method.
18:59:19  [mysql] 	Press the Logs button to view error logs and check
18:59:19  [mysql] 	the Windows Event Viewer for more clues
18:59:19  [mysql] 	If you need more help, copy and post this
18:59:19  [mysql] 	entire log window on the forums
19:00:51  [mysql] 	Attempting to start MySQL app...
19:00:52  [mysql] 	Status change detected: running
19:01:26  [Apache] 	Status change detected: stopped
19:01:26  [Apache] 	Error: Apache shutdown unexpectedly.
19:01:26  [Apache] 	This may be due to a blocked port, missing dependencies, 
19:01:26  [Apache] 	improper privileges, a crash, or a shutdown by another method.
19:01:26  [Apache] 	Press the Logs button to view error logs and check
19:01:26  [Apache] 	the Windows Event Viewer for more clues
